================================================================================
TABLE 1: PSNR and MSE for 5 Color Medical Images
================================================================================

| Image | Text Size (bytes) | DWT-1L PSNR (dB) | DWT-1L MSE |
|-------|-------------------|------------------|------------|
| fundus1 | 15 | 57.61 | 0.112800 |
| | 30 | 57.63 | 0.112200 |
| | 45 | 57.48 | 0.116300 |
| | 55 | 57.60 | 0.113000 |
| | 100 | 57.32 | 0.120800 |
| | 128 | 57.39 | 0.118600 |
| | 256 | 57.10 | 0.126800 |
| fundus2 | 15 | 57.54 | 0.114600 |
| | 30 | 57.54 | 0.114500 |
| | 45 | 57.47 | 0.116400 |
| | 55 | 57.48 | 0.116300 |
| | 100 | 57.41 | 0.118100 |
| | 128 | 57.38 | 0.118900 |
| | 256 | 57.02 | 0.129300 |
| fundus3 | 15 | 57.50 | 0.115800 |
| | 30 | 57.48 | 0.116100 |
| | 45 | 57.57 | 0.113900 |
| | 55 | 57.53 | 0.114900 |
| | 100 | 57.31 | 0.120700 |
| | 128 | 57.34 | 0.120100 |
| | 256 | 57.11 | 0.126600 |
| fundus4 | 15 | 57.62 | 0.112500 |
| | 30 | 57.56 | 0.114100 |
| | 45 | 57.43 | 0.117700 |
| | 55 | 57.49 | 0.115900 |
| | 100 | 57.37 | 0.119200 |
| | 128 | 57.34 | 0.119900 |
| | 256 | 57.17 | 0.124700 |
| fundus5 | 15 | 57.54 | 0.114500 |
| | 30 | 57.50 | 0.115700 |
| | 45 | 57.41 | 0.118000 |
| | 55 | 57.51 | 0.115400 |
| | 100 | 57.39 | 0.118700 |
| | 128 | 57.29 | 0.121300 |
| | 256 | 57.12 | 0.126200 |
| **Average** | | 57.42 | 0.118014 |
