================================================================================
TABLE 2: PSNR and MSE for 5 Grayscale Medical Images
================================================================================

| Image | Text Size (bytes) | DWT-1L PSNR (dB) | DWT-1L MSE |
|-------|-------------------|------------------|------------|
| xray1 | 15 | 57.37 | 0.119200 |
| | 30 | 57.41 | 0.118100 |
| | 45 | 57.30 | 0.121200 |
| | 55 | 57.25 | 0.122600 |
| | 100 | 57.29 | 0.121300 |
| | 128 | 57.13 | 0.126100 |
| | 256 | 56.87 | 0.133900 |
| xray2 | 15 | 57.33 | 0.120200 |
| | 30 | 57.43 | 0.117600 |
| | 45 | 57.25 | 0.122600 |
| | 55 | 57.30 | 0.121100 |
| | 100 | 57.20 | 0.123900 |
| | 128 | 57.14 | 0.125700 |
| | 256 | 56.91 | 0.132500 |
| xray3 | 15 | 57.29 | 0.121500 |
| | 30 | 57.36 | 0.119400 |
| | 45 | 57.30 | 0.121200 |
| | 55 | 57.32 | 0.120500 |
| | 100 | 57.13 | 0.125900 |
| | 128 | 57.20 | 0.123800 |
| | 256 | 57.01 | 0.129600 |
| xray4 | 15 | 57.28 | 0.121700 |
| | 30 | 57.32 | 0.120600 |
| | 45 | 57.33 | 0.120400 |
| | 55 | 57.27 | 0.122000 |
| | 100 | 57.14 | 0.125500 |
| | 128 | 57.16 | 0.125100 |
| | 256 | 56.85 | 0.134300 |
| xray5 | 15 | 57.38 | 0.118900 |
| | 30 | 57.29 | 0.121400 |
| | 45 | 57.38 | 0.119000 |
| | 55 | 57.28 | 0.121700 |
| | 100 | 57.24 | 0.122800 |
| | 128 | 57.20 | 0.123900 |
| | 256 | 56.95 | 0.131300 |
| **Average** | | 57.22 | 0.123329 |
