====================================================================================================
TABLE 3: BER, SSIM, Structural Content, and Correlation for All Images
====================================================================================================

| Image | Type | Text Size | BER | SSIM | SC | Correlation |
|-------|------|-----------|-----|------|-----|-------------|
| fundus1 | color | 15 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 30 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 45 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 55 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 100 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 128 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 256 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| fundus2 | color | 15 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 30 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 45 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 55 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 100 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 128 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 256 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| fundus3 | color | 15 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 30 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 45 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 55 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 100 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 128 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 256 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| fundus4 | color | 15 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 30 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 45 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 55 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 100 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 128 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 256 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| fundus5 | color | 15 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 30 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 45 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 55 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 100 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 128 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 256 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| xray1 | grayscale | 15 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 30 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 45 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 55 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 100 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 128 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 256 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| xray2 | grayscale | 15 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 30 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 45 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 55 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 100 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 128 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 256 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| xray3 | grayscale | 15 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 30 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 45 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 55 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 100 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 128 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 256 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| xray4 | grayscale | 15 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 30 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 45 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 55 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 100 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 128 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 256 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| xray5 | grayscale | 15 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 30 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 45 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 55 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 100 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 128 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| | | 256 | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
| **Overall Average** | | | 0.000000 | 1.0000 | 1.0000 | 1.0000 |
